X,Y,acceptedSc,decimalLon,decimalLat,stateProvi,icon_url
73.856744,18.52043,"""Ceropegia bulbosa Roxb.""",73.856744000000006,18.520430000000001,"""Maharashtra""",./0.png
73.921839,18.14065,"""Ceropegia hirsuta Wight & Arn.""",73.921839000000006,18.140650000000001,"""Maharashtra""",./0.png
73.78961,19.999851,"""Ceropegia attenuata Hook.""",73.789609999999996,19.999851000000000,"""Maharashtra""",./0.png
73.815384,18.52549,"""Ceropegia hirsuta Wight & Arn.""",73.815383999999995,18.525490000000001,"""Maharashtra""",./0.png
73.856744,18.52043,"""Ceropegia bulbosa Roxb.""",73.856744000000006,18.520430000000001,"""Maharashtra""",./0.png
73.856744,18.52043,"""Ceropegia lawii Hook.f.""",73.856744000000006,18.520430000000001,"""Maharashtra""",./0.png
73.370797,18.764457,"""Ceropegia mahabalei Hemadri & M.Y.Ansari""",73.370796999999996,18.764457000000000,"""Maharashtra""",./0.png
74.003571,15.964716,"""Ceropegia jainii Ansari & B.G.Kulk.""",74.003570999999994,15.964715999999999,"""Maharashtra""",./0.png
73.823716,17.720831,"""Ceropegia jainii Ansari & B.G.Kulk.""",73.823716000000005,17.720831000000000,"""Maharashtra""",./0.png
72.927189,19.445265,"""Ceropegia vincifolia Hook.""",72.927188999999998,19.445264999999999,"""Maharashtra""",./0.png
75.713888,15.317278,"""Ceropegia decaisneana Wight""",75.713887999999997,15.317278000000000,"""Karnataka""",./0.png
75.713888,15.317278,"""Ceropegia decaisneana Wight""",75.713887999999997,15.317278000000000,"""Karnataka""",./0.png
73.413728,18.681518,"""Ceropegia evansii Mc Cann""",73.413728000000006,18.681518000000001,"""Maharashtra""",./0.png
73.708042,17.941946,"""Ceropegia lawii Hook.f.""",73.708042000000006,17.941946000000002,"""Maharashtra""",./0.png
73.410803,18.757277,"""Ceropegia santapaui Wadhwa & Ansari""",73.410803000000001,18.757276999999998,"""Maharashtra""",./0.png
77.52856,12.881367,"""Ceropegia candelabrum L.""",77.528559999999999,12.881366999999999,"""Karnataka""",./0.png
75.676082,15.918622,"""Ceropegia juncea Roxb.""",75.676081999999994,15.918621999999999,"""Karnataka""",./0.png
73.526989,15.939297,"""Ceropegia hirsuta Wight & Arn.""",73.526989000000000,15.939297000000000,"""Maharashtra""",./0.png
75.676082,15.918622,"""Ceropegia juncea Roxb.""",75.676081999999994,15.918621999999999,"""Karnataka""",./0.png
74.003571,15.964716,"""Ceropegia fantastica Sedgwick""",74.003570999999994,15.964715999999999,"""Maharashtra""",./0.png
77.526987,12.881163,"""Ceropegia candelabrum L.""",77.526987000000005,12.881163000000001,"""Karnataka""",./0.png
77.21038,13.375097,"""Ceropegia spiralis Wight""",77.210380000000001,13.375097000000000,"""Karnataka""",./0.png
77.617633,14.232145,"""Ceropegia bulbosa Roxb.""",77.617632999999998,14.232144999999999,"""Andhra Pradesh""",./0.png
77.203903,13.370692,"""Ceropegia spiralis Wight""",77.203902999999997,13.370692000000000,,./0.png
77.526367,12.883924,"""Ceropegia candelabrum L.""",77.526366999999993,12.883924000000000,,./0.png
75.725143,12.682228,"""Ceropegia hirsuta Wight & Arn.""",75.725143000000003,12.682228000000000,,./0.png
73.571032,19.14028,"""Ceropegia frerei (Rowley) Bruyns""",73.571032000000002,19.140280000000001,"""Maharashtra""",./0.png
77.275822,8.698352,"""Ceropegia candelabrum subsp. candelabrum""",77.275822000000005,8.698352000000000,"""Tamil Nadu""",./0.png
75.408249,27.628584,"""Ceropegia bulbosa Roxb.""",75.408248999999998,27.628584000000000,,./0.png
77.275822,8.698352,"""Ceropegia candelabrum L.""",77.275822000000005,8.698352000000000,"""Tamil Nadu""",./0.png
74.81562,16.159185,"""Ceropegia spiralis Wight""",74.815619999999996,16.159185000000001,"""Karnataka""",./0.png
79.003772,14.126665,"""Ceropegia spiralis Wight""",79.003771999999998,14.126664999999999,"""Andhra Pradesh""",./0.png
73.811028,16.381967,"""Ceropegia attenuata Hook.""",73.811027999999993,16.381967000000000,"""Maharashtra""",./0.png
73.638904,15.851414,"""Ceropegia attenuata Hook.""",73.638903999999997,15.851414000000000,"""Maharashtra""",./0.png
73.638904,15.851414,"""Ceropegia attenuata Hook.""",73.638903999999997,15.851414000000000,"""Maharashtra""",./0.png
79.739988,15.9129,"""Ceropegia umbellata (Haw.) Bruyns""",79.739987999999997,15.912900000000000,"""Andhra Pradesh""",./0.png
74.003571,15.964716,"""Ceropegia fantastica Sedgwick""",74.003570999999994,15.964715999999999,"""Maharashtra""",./0.png
73.814758,17.720058,"""Ceropegia jainii Ansari & B.G.Kulk.""",73.814757999999998,17.720058000000002,"""Maharashtra""",./0.png
74.003571,15.964716,"""Ceropegia fantastica Sedgwick""",74.003570999999994,15.964715999999999,"""Maharashtra""",./0.png
75.109227,13.214333,"""Ceropegia candelabrum subsp. candelabrum""",75.109227000000004,13.214333000000000,"""Karnataka""",./0.png
73.830537,16.55467,"""Ceropegia lawii Hook.f.""",73.830537000000007,16.554670000000002,"""Maharashtra""",./0.png
73.512978,18.992087,"""Ceropegia oculata Hook.""",73.512978000000004,18.992087000000001,"""Maharashtra""",./0.png
73.823716,17.720831,"""Ceropegia vincifolia Hook.""",73.823716000000005,17.720831000000000,"""Maharashtra""",./0.png
73.824262,16.512929,"""Ceropegia lawii Hook.f.""",73.824262000000004,16.512929000000000,"""Maharashtra""",./0.png
73.821344,18.519086,"""Ceropegia hirsuta Wight & Arn.""",73.821343999999996,18.519086000000001,"""Maharashtra""",./0.png
73.57,19.92,"""Ceropegia frerei (Rowley) Bruyns""",73.569999999999993,19.920000000000002,"""Maharashtra""",./0.png
73.471054,16.063069,"""Ceropegia malwanensis (S.R.Yadav & N.P.Singh) Bruyns""",73.471053999999995,16.063068999999999,"""Maharashtra""",./0.png
75.028988,15.965594,"""Ceropegia juncea Roxb.""",75.028987999999998,15.965593999999999,"""Karnataka""",./0.png
70.562,21.568,"""Ceropegia bulbosa Roxb.""",70.561999999999998,21.568000000000001,"""Gujarat""",./0.png
